id_point,Collection_point,Longitude,Latitude,ID_district
1,Adamov,16.659387319982063,49.29915345,1
2,Spešov,16.6289031,49.3947699,1
3,Vranovice,16.6066028,48.9659971,3
4,Ruprechtov,16.8513877,49.3286502,6
5,Havraníky,16.0083868,48.8114251,7
6,Bedřichov,16.46094827168212,49.463091750000004,1
7,Běhařovice,16.0788482,49.0039623,7
8,Běleč,16.383159,49.433968,3
9,Benešov u Boskovic,16.778383247433787,49.51776155,1
10,Bítov,15.7290268,48.9365145,7
11,Lažany,16.550036,49.354396,1
12,Louka u Ostrohu,17.48902822261919,48.9185656,5
13,Borač,16.3611119,49.4008152,3
14,Velké Opatovice,16.6794242,49.6126397,1
15,Božice,16.2887534,48.8368673,7
16,Hevlín,16.3813119,48.7520911,7
17,Brťov-Jeneč,16.5168673,49.4138231,1
18,Velké Opatovice - Brťov,16.6403356,49.6173595,1
19,Býkovice,16.53828,49.4302031,1
20,Bzenec Přívoz,17.2891999,48.9367279,5
21,Lipov,17.4617114,48.9049471,5
22,Velká nad Veličkou,17.5202893,48.8827446,5
23,Crhov,16.4360594,49.5448422,1
24,Čermákovice,16.1949693,49.0320528,7
25,Černá Hora,16.581424,49.413634,1
26,Čučice,16.2763813,49.1382316,3
27,Damnice,16.3741,48.920312,7
28,Oleksovice,16.2484019,48.902058,7
29,Deblín,16.3462457,49.3205381,3
30,Deštná,16.563592,49.612581,1
31,Dlouhá Lhota,16.509624,49.428686,1
32,Dolní Kounice,16.4648241,49.0702283,3
33,Drnovice,16.540633,49.4680432,1
34,Voděrady,16.557922,49.481526,1
35,Džbánice,16.2109348,49.0012607,7
36,Hluboké Dvory,16.5142039,49.3831412,3
37,Hodonice,16.1634429,48.8368228,7
38,Krhovice,16.1734773,48.8156498,7
39,Hodonín u Kunštátu,16.411132590915784,49.5017665,1
40,Rájec-Jestřebí - Holešín,16.654981,49.4282714,1
41,Holštejn,16.7776603,49.4063213,1
42,Horní Dunajovice,16.1615243,48.9502433,7
43,Horní Kounice,16.1522635,49.0259933,7
44,Horní Loučky,16.3413943,49.3668061,3
45,Horní Poříčí u Letovic,16.47152553521572,49.58676375,1
46,Horní Smržov,16.5769795,49.6182586,1
47,Okrouhlá,16.73203,49.507528,1
48,Hvozdec,16.4256537,49.2471043,3
49,Jedovnice,16.7559491,49.3445314,1
50,Rudice,16.7256625,49.3372988,1
51,Kadov,16.287359,48.982794,7
52,Rájec-Jestřebí - Karolín,16.670472,49.4076905,1
53,Katov,16.2787567,49.3326927,3
54,Letovice - Kladoruby,16.6081446,49.5552477,1
55,Kněževes,16.423825,49.587056,1
56,Letovice - Kochov,16.6112842,49.5645135,1
57,Korolupy,15.6458973,48.9302046,7
58,Kořenec,16.7538341,49.5299637,1
59,Kozárov,16.4586566,49.4438353,3
60,Křepice,16.0974029,48.9873895,7
61,Křeptov,16.3780572,49.4423714,3
62,Křtiny,16.7433382,49.2968704,1
63,Kunčina Ves,16.4752608,49.4469803,1
64,Kunice,16.485993073965318,49.481491899999995,1
65,Kuničky,16.6813622,49.4349265,1
66,Kunštát,16.5184624,49.5072078,1
67,Zbraslavec,16.5283899,49.4838994,1
68,Kuřimské Jestřabí,16.313927,49.3465754,3
69,Lančov,15.7678004,48.9070583,7
70,Křetín,16.5044008,49.5631047,1
71,Letovice,16.5738843,49.5467115,1
72,Letovice - Lhota,16.5624809,49.5361575,1
73,Lhota u Lysic,16.4962596,49.469979,1
74,Lhota u Olešnice,16.3907243,49.5448092,1
75,Lipovec,16.805857,49.383963,1
76,Loděnice,16.463072,49.0115976,3
77,Louka,16.4310446,49.5291692,1
78,Lovčice,17.05429,49.0636,5
79,Lysice,16.5365508,49.4517461,1
80,Malá Lhota,16.5495308,49.3918905,1
81,Malá Roudka,16.6446577,49.6017475,1
82,Mikulovice,16.094682,48.956818,7
83,Miroslav,16.3134526,48.9473112,7
84,Morašice,16.208905,48.957569,7
85,Moravany,17.169025,49.040131,5
86,Moravské Knínice,16.49248413982125,49.28885405,3
87,Moravský Krumlov,16.3115273,49.0492698,7
88,Němčice,16.717981,49.44999,1
89,Žďár,16.697806,49.4216,1
90,Letovice - Novičí,16.5965592,49.582628,1
91,Olešnice,16.421726,49.557585,1
92,Olešnice na Moravě,16.416696190359716,49.565807750000005,1
93,Oslnovice,15.6873987,48.9320871,7
94,Ostopovice,16.5460487,49.1610664,2
95,Moravská Nová Ves,17.0137087,48.8030427,4
96,Kuřimská Nová Ves,16.2969704,49.3457648,3
97,Přeskače,16.106898,49.0124296,7
98,Lesní Hluboké,16.3063419,49.2687764,3
99,Rájec-Jestřebí,16.6270226,49.409145,1
100,Rašov,16.4537251,49.4155452,3
101,Rohozec,16.4828464,49.390315,3
102,Rozseč nad Kunštátem,16.4629625,49.5244186,1
103,Sulíkov,16.4896109,49.5445918,1
104,Říčany,16.3933259,49.2151397,3
105,Sebranice u Boskovic,16.572155482991242,49.496207299999995,1
106,Skalice,16.224802,48.964466,7
107,Skalice nad Svitavou,16.6073215,49.480837,1
108,Skrchov,16.5493588,49.5777308,1
109,Břeclav,16.8813137,48.7594008,4
110,Brod nad Dyjí,16.5353783,48.875209,4
111,Lednice,16.8039515,48.8001413,4
112,Cvrčovice,16.5144768,48.9936682,3
113,Nová Ves,16.3108395,49.1081117,3
114,Tučapy,16.918385,49.233366,6
115,Zaječí,16.7668189,48.8731686,4
116,Slatina u Jevišovic,16.0231310468222,49.016511449999996,7
117,Sloup v Moravském krasu,16.741073871502724,49.4266671,1
118,Stošíkovice na Louce,16.2148722,48.8965883,7
119,Strachotice,16.1722533,48.7962155,7
120,Strhaře - Žleby,16.4321926,49.4468988,3
121,Stvolová - Skřib,16.5441063,49.5896511,1
122,Stvolová - Vlkov,16.5302167,49.5848673,1
123,Ivančice,16.3776051,49.1015881,3
124,Moravské Bránice,16.4362839,49.0832736,3
125,Rosice,16.3878251,49.1825874,3
126,Zastávka,16.365508,49.1885443,3
127,Zbraslav,16.2938559,49.221003,3
128,Jinačovice,16.5294859,49.2678029,3
129,Lažánky,16.3880626,49.2789457,3
130,Lomnice,16.413603,49.404466,3
131,Mokrá,16.7528,49.2233,3
132,Střelice,16.503999,49.152242,3
133,Čebín,16.4777695,49.3131006,3
134,Lomnička,16.4305208,49.3670315,3
135,Tišnov,16.4244906,49.348838,3
136,Světlá,16.7180937,49.5656665,1
137,Svitávka,16.5979316,49.5017765,1
138,Syrovice,16.5460683,49.0799072,3
139,Sobotovice,16.5567924,49.0600835,3
140,Štěchov,16.5050738,49.4528909,1
141,Tasovice,16.1555848,48.8360958,7
142,Těmice,17.264921,49.001563,5
143,Těšetice,16.1582019,48.8888441,7
144,Kunštát - Touboř,16.4952839,49.4928701,1
145,Trstěnice,16.195424,48.986799,7
146,Tvořihráz,16.1357753,48.9175487,7
147,Uhřice,16.735005,49.5950652,1
148,Újezd u Boskovic,16.6541632,49.4638989,1
149,Unín,16.49508940790433,49.3854534,3
150,Úsobrno,16.7628827,49.5889245,1
