Collection_point,Longitude,Latitude,District_name,Region_name
Adamov,16.659387319982063,49.29915345,Blansko,Jihomoravský kraj
Spešov,16.6289031,49.3947699,Blansko,Jihomoravský kraj
Vranovice,16.6066028,48.9659971,Brno-venkov,Jihomoravský kraj
Ruprechtov,16.8513877,49.3286502,Vyškov,Jihomoravský kraj
Havraníky,16.0083868,48.8114251,Znojmo,Jihomoravský kraj
Bedřichov,16.46094827168212,49.463091750000004,Blansko,Jihomoravský kraj
Běhařovice,16.0788482,49.0039623,Znojmo,Jihomoravský kraj
Běleč,14.844433071527414,49.5507099,Tábor,Jihočeský kraj
Benešov u Boskovic,16.778383247433787,49.51776155,Blansko,Jihomoravský kraj
Bítov,15.7290268,48.9365145,Znojmo,Jihomoravský kraj
Lažany,21.097543,49.0373471,,
Louka u Ostrohu,17.48902822261919,48.9185656,Hodonín,Jihomoravský kraj
Borač,16.3611119,49.4008152,Brno-venkov,Jihomoravský kraj
Velké Opatovice,16.6794242,49.6126397,Blansko,Jihomoravský kraj
Božice,16.2887534,48.8368673,Znojmo,Jihomoravský kraj
Hevlín,16.3813119,48.7520911,Znojmo,Jihomoravský kraj
Brťov-Jeneč,16.5168673,49.4138231,Blansko,Jihomoravský kraj
Velké Opatovice - Brťov,16.6403356,49.6173595,Blansko,Jihomoravský kraj
Býkovice,16.53828,49.4302031,Blansko,Jihomoravský kraj
Bzenec Přívoz,17.2891999,48.9367279,Hodonín,Jihomoravský kraj
Lipov,17.4617114,48.9049471,Hodonín,Jihomoravský kraj
Velká nad Veličkou,17.5202893,48.8827446,Hodonín,Jihomoravský kraj
Crhov,16.4360594,49.5448422,Blansko,Jihomoravský kraj
Čermákovice,16.1949693,49.0320528,Znojmo,Jihomoravský kraj
Černá Hora,19.5180992,42.9868853,,
Čučice,16.2763813,49.1382316,Brno-venkov,Jihomoravský kraj
Damnice,16.3741,48.920312,Znojmo,Jihomoravský kraj
Oleksovice,16.2484019,48.902058,Znojmo,Jihomoravský kraj
Deblín,16.3462457,49.3205381,Brno-venkov,Jihomoravský kraj
Deštná,14.9238356,49.2651773,Jindřichův Hradec,Jihočeský kraj
Dlouhá Lhota,14.1207868,49.72114,Příbram,Středočeský kraj
Dolní Kounice,16.4648241,49.0702283,Brno-venkov,Jihomoravský kraj
Drnovice,16.540633,49.4680432,Blansko,Jihomoravský kraj
Voděrady,16.2850606,49.949597,Ústí nad Orlicí,Pardubický kraj
Džbánice,16.2109348,49.0012607,Znojmo,Jihomoravský kraj
Hluboké Dvory,16.5142039,49.3831412,Brno-venkov,Jihomoravský kraj
Hodonice,16.1634429,48.8368228,Znojmo,Jihomoravský kraj
Krhovice,16.1734773,48.8156498,Znojmo,Jihomoravský kraj
Hodonín u Kunštátu,16.411132590915784,49.5017665,Blansko,Jihomoravský kraj
Rájec-Jestřebí - Holešín,16.654981,49.4282714,Blansko,Jihomoravský kraj
Holštejn,16.7776603,49.4063213,Blansko,Jihomoravský kraj
Horní Dunajovice,16.1615243,48.9502433,Znojmo,Jihomoravský kraj
Horní Kounice,16.1522635,49.0259933,Znojmo,Jihomoravský kraj
Horní Loučky,16.3413943,49.3668061,Brno-venkov,Jihomoravský kraj
Horní Poříčí u Letovic,16.47152553521572,49.58676375,Blansko,Jihomoravský kraj
Horní Smržov,16.5769795,49.6182586,Blansko,Jihomoravský kraj
Okrouhlá,14.5275733,50.7668289,Česká Lípa,Liberecký kraj
Hvozdec,16.4256537,49.2471043,Brno-venkov,Jihomoravský kraj
Jedovnice,16.7559491,49.3445314,Blansko,Jihomoravský kraj
Rudice,16.7256625,49.3372988,Blansko,Jihomoravský kraj
Kadov,13.7747682,49.4028117,Strakonice,Jihočeský kraj
Rájec-Jestřebí - Karolín,16.670472,49.4076905,Blansko,Jihomoravský kraj
Katov,16.2787567,49.3326927,Brno-venkov,Jihomoravský kraj
Letovice - Kladoruby,16.6081446,49.5552477,Blansko,Jihomoravský kraj
Kněževes,15.9808196,49.4564784,Žďár nad Sázavou,Kraj Vysočina
Letovice - Kochov,16.6112842,49.5645135,Blansko,Jihomoravský kraj
Korolupy,15.6458973,48.9302046,Znojmo,Jihomoravský kraj
Kořenec,16.7538341,49.5299637,Blansko,Jihomoravský kraj
Kozárov,16.4586566,49.4438353,Brno-venkov,Jihomoravský kraj
Křepice,16.0974029,48.9873895,Znojmo,Jihomoravský kraj
Křeptov,16.3780572,49.4423714,Brno-venkov,Jihomoravský kraj
Křtiny,16.7433382,49.2968704,Blansko,Jihomoravský kraj
Kunčina Ves,16.4752608,49.4469803,Blansko,Jihomoravský kraj
Kunice,16.485993073965318,49.481491899999995,Blansko,Jihomoravský kraj
Kuničky,16.6813622,49.4349265,Blansko,Jihomoravský kraj
Kunštát,16.5184624,49.5072078,Blansko,Jihomoravský kraj
Zbraslavec,16.5283899,49.4838994,Blansko,Jihomoravský kraj
Kuřimské Jestřabí,16.313927,49.3465754,Brno-venkov,Jihomoravský kraj
Lančov,15.7678004,48.9070583,Znojmo,Jihomoravský kraj
Křetín,16.5044008,49.5631047,Blansko,Jihomoravský kraj
Letovice,16.5738843,49.5467115,Blansko,Jihomoravský kraj
Letovice - Lhota,16.5624809,49.5361575,Blansko,Jihomoravský kraj
Lhota u Lysic,16.4962596,49.469979,Blansko,Jihomoravský kraj
Lhota u Olešnice,16.3907243,49.5448092,Blansko,Jihomoravský kraj
Lipovec,15.5449738,49.9163359,Chrudim,Pardubický kraj
