Oblast;Misto_odberu;;Group2;Group32;Jednotka;Group33;Hodnota;Počet_hodnot_OUT2;Počet_hodnot_IN3;Počet_hodnot3;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012224509;barva;mg/l Pt;21.11.2022;2;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012224509;Clostridium perfringens;KTJ (MPN)/100 ml;21.11.2022;0;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012224509;dusitany;mg/l;21.11.2022;0,014;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012224509;Escherichia coli;KTJ (MPN)/100 ml;21.11.2022;0;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012224509;CHSK-Mn;mg/l;21.11.2022;1,1;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012224509;chuť;Neurčená jednotka;21.11.2022;PRIJAT;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012224509;intestinální enterokoky;KTJ (MPN)/100 ml;21.11.2022;0;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012224509;koliformní bakterie;KTJ (MPN)/100 ml;21.11.2022;0;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012224509;MO - abioseston;procenta;21.11.2022;1;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012224509;MO - počet organismů;jedinci/ml;21.11.2022;0;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012224509;MO - živé organismy;jedinci/ml;21.11.2022;0;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012224509;pach;Neurčená jednotka;21.11.2022;PRIJAT;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012224509;pH;Neurčená jednotka;21.11.2022;7,4;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012224509;počty kolonií při 22 °C;KTJ/ml;21.11.2022;0;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012224509;počty kolonií při 36 °C;KTJ/ml;21.11.2022;0;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012224509;teplota;°C;21.11.2022;8,6;0;;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012224509;zákal;ZF(n);21.11.2022;0,5;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012224509;železo;mg/l;21.11.2022;0,04;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012224509;;;;;;;;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012312148;amonné ionty;mg/l;13.6.2023;0,06;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012312148;barva;mg/l Pt;13.6.2023;2;0;1;1;;;;;
